name,avgpoint,avg_price,num_reviews
Don Chicken - Chicken & Pub - Royal City,7.2,275000.0,69
Xôi Cô Kim - Lò Đúc,6.9,22500.0,37
Trà Sữa Tocotoco - Cầu Giấy,5.2,36000.0,76
Paris Gâteaux - Bánh Ngọt & Trà Sữa - Giảng Võ,7.3,230000.0,179
Khun Thái - Món Ăn Đường Phố Thái Lan,7.4,140000.0,59
Bún Chả Que Tre - Giảng Võ,7.9,40000.0,12
Chingu Coffee,8.2,35000.0,26
Phở Cuốn Hương Mai - TT Giảng Võ,7.2,75000.0,69
Sữa Chua Trân Châu Hạ Long - Ô Chợ Dừa,6.4,27500.0,12
Cơm Ngon Yến Vy - Cơm Văn Phòng,9.8,60000.0,160
Trà Sữa Feeling Tea - Minh Khai,7.0,37500.0,35
McDonald's - Thái Hà,7.0,125000.0,24
Bảo Hằng - Bít Tết - 5 Hoè Nhai,7.3,70000.0,36
Nan N Kabab - Xuân Diệu,8.0,200000.0,35
"Quán Thương Béo - Bánh Bèo, Cháo Canh, Cháo Lươn Nghệ An Hà Tĩnh",8.0,35000.0,15
Pizza One,5.8,100000.0,16
Highlands Coffee - Pullman,7.6,37000.0,103
Maru Korean - Tiệm Đồ Ăn Hàn Quốc & Trà Sữa,6.7,37500.0,133
Lươn Quán - Hoàng Ngọc Phách,7.2,96000.0,32
Đức Food - Mì Trộn Indomie - 165 Chùa Bộc,7.6,35000.0,14
Quà Vặt - Shop Online - Hoàng Ngọc Phách,6.9,65000.0,39
Trà Sữa Tocotoco - Royal City,7.0,52500.0,59
Bếp Nhà - Xôi Chim Tim Trứng Cháy Tỏi Online,6.1,75000.0,13
Puku Cafe & Bar,6.8,135000.0,78
The Hanoi Social Club - 6 Ngõ Hội Vũ,7.4,160000.0,83
Thái Deli - Xuýt Xoa Vị Thái - Hàm Nghi,7.2,125000.0,10
Trà Sữa Tocotoco - Khâm Thiên,6.9,37500.0,81
Bánh Canh Cố Đô,4.8,40000.0,25
Bún Đậu Mẹt & Lòng Trần Cháo - Chùa Láng,5.3,36000.0,19
"Cô Yến - Nem Lụi, Nem Nướng & Bò Lá Lốt - Hoàng Ngân",8.1,18500.0,13
Lẩu Đức Trọc - Dịch Vọng Hậu,4.2,797500.0,12
Bánh Mì - Tào Phớ Vợ Ong Vàng - Bạch Mai,5.2,25000.0,13
Ốc Luộc - Quốc Tử Giám,7.7,55000.0,12
Bánh Rán & Chả Cá - Vĩnh Hồ,7.2,52500.0,12
Hàu Nướng & Hải Sản Ông Câu,9.5,55000.0,34
The Pizza Company - Xuân Diệu,6.9,135000.0,24
Lotteria - Cầu Giấy,7.0,53500.0,105
Su's House - Bánh Su Kem Singapore - Hàng Cót,6.7,60000.0,29
Bún Đậu Kẻ Mơ,6.6,35000.0,28
DWOK - Ẩm Thực Singapore,7.8,161000.0,45
Quán Nem - Nem Cua Biển & Bún Chả - Giảng Võ,6.1,112500.0,24
Trà Sữa Gong Cha - 貢茶 - Hoàng Đạo Thúy,7.2,50000.0,129
Bún Ngon - Triệu Việt Vương,6.4,37500.0,11
Trà Sữa Feeling Tea - Ngọc Lâm,6.8,42000.0,16
Xôi Hồng - Ngọc Lâm,7.2,37500.0,15
Bún Riêu - Nguyễn Sơn,7.9,30000.0,12
Dung - Bún Dọc Mùng,6.9,40000.0,13
Chè 3 Miền - Ngọc Lâm,5.9,32500.0,17
